run,bot,hp,win
785,RandomBot,69,True
786,RandomBot,45,True
787,RandomBot,53,True
788,RandomBot,61,True
789,RandomBot,41,True
790,RandomBot,38,True
791,RandomBot,45,True
792,RandomBot,47,True
793,RandomBot,0,False
794,RandomBot,46,True
795,RandomBot,25,True
796,RandomBot,75,True
797,RandomBot,21,True
798,RandomBot,35,True
799,RandomBot,74,True
800,RandomBot,34,True
801,RandomBot,50,True
802,RandomBot,60,True
803,RandomBot,42,True
804,RandomBot,71,True
805,RandomBot,63,True
806,RandomBot,45,True
807,RandomBot,14,True
808,RandomBot,47,True
809,RandomBot,67,True
810,RandomBot,50,True
811,RandomBot,10,True
812,RandomBot,58,True
813,RandomBot,40,True
814,RandomBot,58,True
815,RandomBot,33,True
816,RandomBot,50,True
817,RandomBot,35,True
818,RandomBot,0,False
819,RandomBot,32,True
820,RandomBot,10,True
821,RandomBot,47,True
822,RandomBot,68,True
823,RandomBot,52,True
824,RandomBot,48,True
825,RandomBot,0,False
826,RandomBot,50,True
827,RandomBot,45,True
828,RandomBot,32,True
829,RandomBot,41,True
830,RandomBot,55,True
831,RandomBot,5,True
832,RandomBot,63,True
833,RandomBot,30,True
834,RandomBot,60,True
835,RandomBot,52,True
836,RandomBot,67,True
837,RandomBot,60,True
838,RandomBot,25,True
839,RandomBot,17,True
840,RandomBot,0,False
841,RandomBot,59,True
842,RandomBot,11,True
843,RandomBot,56,True
844,RandomBot,26,True
845,RandomBot,31,True
846,RandomBot,51,True
847,RandomBot,30,True
848,RandomBot,64,True
849,RandomBot,55,True
850,RandomBot,7,True
851,RandomBot,10,True
852,RandomBot,60,True
853,RandomBot,41,True
854,RandomBot,22,True
855,RandomBot,37,True
856,RandomBot,68,True
857,RandomBot,20,True
858,RandomBot,47,True
859,RandomBot,0,False
860,RandomBot,12,True
861,RandomBot,27,True
862,RandomBot,53,True
863,RandomBot,0,False
864,RandomBot,0,False
865,RandomBot,30,True
866,RandomBot,65,True
867,RandomBot,17,True
868,RandomBot,74,True
869,RandomBot,45,True
870,RandomBot,43,True
871,RandomBot,0,False
872,RandomBot,27,True
873,RandomBot,65,True
874,RandomBot,46,True
875,RandomBot,0,False
876,RandomBot,47,True
877,RandomBot,60,True
878,RandomBot,31,True
879,RandomBot,60,True
880,RandomBot,55,True
881,RandomBot,31,True
882,RandomBot,48,True
883,RandomBot,40,True
884,RandomBot,51,True
885,RandomBot,74,True
886,RandomBot,53,True
887,RandomBot,40,True
888,RandomBot,62,True
889,RandomBot,49,True
890,RandomBot,0,False
891,RandomBot,6,True
892,RandomBot,58,True
893,RandomBot,67,True
894,RandomBot,70,True
895,RandomBot,0,False
896,RandomBot,60,True
897,RandomBot,0,False
898,RandomBot,62,True
899,RandomBot,0,False
900,RandomBot,30,True
901,RandomBot,8,True
902,RandomBot,0,False
903,RandomBot,35,True
904,RandomBot,66,True
905,RandomBot,32,True
906,RandomBot,65,True
907,RandomBot,65,True
908,RandomBot,0,False
909,RandomBot,35,True
910,RandomBot,48,True
911,RandomBot,50,True
912,RandomBot,57,True
913,RandomBot,33,True
914,RandomBot,62,True
915,RandomBot,23,True
916,RandomBot,52,True
917,RandomBot,0,False
918,RandomBot,55,True
919,RandomBot,46,True
920,RandomBot,0,False
921,RandomBot,3,True
922,RandomBot,0,False
923,RandomBot,20,True
924,RandomBot,36,True
925,RandomBot,47,True
926,RandomBot,67,True
927,RandomBot,35,True
928,RandomBot,69,True
929,RandomBot,61,True
930,RandomBot,46,True
931,RandomBot,55,True
932,RandomBot,55,True
933,RandomBot,56,True
934,RandomBot,50,True
935,RandomBot,58,True
936,RandomBot,60,True
937,RandomBot,54,True
938,RandomBot,10,True
939,RandomBot,60,True
940,RandomBot,54,True
941,RandomBot,56,True
942,RandomBot,31,True
943,RandomBot,15,True
944,RandomBot,44,True
945,RandomBot,51,True
946,RandomBot,44,True
947,RandomBot,68,True
948,RandomBot,64,True
949,RandomBot,23,True
950,RandomBot,14,True
951,RandomBot,59,True
952,RandomBot,51,True
953,RandomBot,60,True
954,RandomBot,38,True
955,RandomBot,60,True
956,RandomBot,26,True
957,RandomBot,27,True
958,RandomBot,24,True
959,RandomBot,46,True
960,RandomBot,20,True
961,RandomBot,37,True
962,RandomBot,0,False
963,RandomBot,47,True
964,RandomBot,0,False
965,RandomBot,36,True
966,RandomBot,54,True
967,RandomBot,55,True
968,RandomBot,72,True
969,RandomBot,15,True
970,RandomBot,65,True
971,RandomBot,31,True
972,RandomBot,21,True
973,RandomBot,67,True
974,RandomBot,63,True
975,RandomBot,53,True
976,RandomBot,30,True
977,RandomBot,50,True
978,RandomBot,31,True
979,RandomBot,0,False
980,RandomBot,35,True
981,RandomBot,34,True
982,RandomBot,35,True
983,RandomBot,61,True
984,RandomBot,3,True
985,RandomBot,1,True
986,RandomBot,41,True
987,RandomBot,64,True
988,RandomBot,64,True
989,RandomBot,65,True
990,RandomBot,55,True
991,RandomBot,19,True
992,RandomBot,53,True
993,RandomBot,0,False
994,RandomBot,49,True
995,RandomBot,28,True
996,RandomBot,9,True
997,RandomBot,52,True
998,RandomBot,59,True
999,RandomBot,69,True
